round,labels_used,strategy,accuracy,precision,recall,f1
0,0,active,0.7627118644067796,0.3333333333333333,0.07692307692307693,0.125
1,20,active,0.7966101694915254,0.6666666666666666,0.15384615384615385,0.25
2,40,active,0.864406779661017,1.0,0.38461538461538464,0.5555555555555556
3,60,active,0.847457627118644,0.75,0.46153846153846156,0.5714285714285714
4,80,active,0.9152542372881356,0.7857142857142857,0.8461538461538461,0.8148148148148148
5,100,active,0.8983050847457628,0.7333333333333333,0.8461538461538461,0.7857142857142857
6,120,active,0.9491525423728814,0.9166666666666666,0.8461538461538461,0.88
7,140,active,0.8813559322033898,0.6875,0.8461538461538461,0.7586206896551724
8,160,active,0.9152542372881356,0.7857142857142857,0.8461538461538461,0.8148148148148148
0,0,random,0.7796610169491526,0.5,0.07692307692307693,0.13333333333333333
1,20,random,0.864406779661017,1.0,0.38461538461538464,0.5555555555555556
2,40,random,0.847457627118644,1.0,0.3076923076923077,0.47058823529411764
3,60,random,0.8983050847457628,1.0,0.5384615384615384,0.7
4,80,random,0.8813559322033898,1.0,0.46153846153846156,0.631578947368421
5,100,random,0.8983050847457628,1.0,0.5384615384615384,0.7
6,120,random,0.9491525423728814,1.0,0.7692307692307693,0.8695652173913043
7,140,random,0.9322033898305084,0.8461538461538461,0.8461538461538461,0.8461538461538461
8,160,random,0.9661016949152542,1.0,0.8461538461538461,0.9166666666666666
